"month","2023","2024"
"Jan",7457,8068
"Feb",7261,8045
"Mar",8260,9027
"Apr",10215,11014
"May",10696,11569
"Jun",11985,12923
"Jul",12532,13266
"Aug",13641,14819
"Sep",12762,13382
"Oct",11485,11892
"Nov",8187,9048
"Dec",8612,9213
